Model,Train Time (s),Pred Time (s),Val AUC (%),Samples Trained On,Samples Predicted,Component,Time (seconds),Notes
Random Forest,1.523,0.0898,96.84,7846.0,1082.0,,,
XGBoost,0.769,0.0036,96.79,7846.0,1082.0,,,
Logistic Regression ★,0.237,0.0,96.75,7846.0,1082.0,,,
AdaBoost,4.441,0.0475,96.43,7846.0,1082.0,,,
Gradient Boosting,18.344,0.0109,96.29,7846.0,1082.0,,,
Extra Trees,0.284,0.0921,96.27,7846.0,1082.0,,,
SVM,12.157,0.495,95.02,7846.0,1082.0,,,
,,,,,,Blockchain Contract Deployment,0.048,"Gas used: 909,053"
,,,,,,Blockchain Storage (per record),0.071,"Avg gas: 171,133"
,,,,,,Blockchain Retrieval (per record),0.0293,Read-only call (no gas)
